,altitude,date_time,device_info_serial,direction,latitude,longitude,speed_2d
96,98,2013-08-16 04:41:58+00,851,8.873764006,49.4309794,2.1610902,0.791201618
97,72,2013-08-16 04:57:11+00,851,179.6804792,49.4367851,2.169278,1.912119243
98,76,2013-08-16 05:12:39+00,851,170.091666,49.4367381,2.1701614,0.402616443
99,85,2013-08-16 05:27:56+00,851,-103.0559029,49.4376862,2.1901003,0.490407993
100,91,2013-08-16 05:42:49+00,851,160.8102225,49.4375818,2.1899338,2.81726818
101,90,2013-08-16 05:57:48+00,851,11.5777969,49.4376003,2.1898996,0.580775344
102,87,2013-08-16 06:13:08+00,851,29.160051,49.4375185,2.1898887,0.167630546
103,80,2013-08-16 06:28:07+00,851,-172.9561474,49.4359362,2.1941515,0.33286634
104,174,2013-08-16 06:43:04+00,851,-148.8603217,49.4367055,2.1940304,0.215870331
105,70,2013-08-16 06:57:59+00,851,37.14307057,49.4358703,2.1942098,0.527730992
106,-146,2013-08-16 07:12:55+00,851,168.5782437,49.438148,2.1932953,0.585234996
107,-49,2013-08-16 07:28:01+00,851,-28.02573342,49.4171242,2.2085359,4.573947966
108,70,2013-08-16 07:43:05+00,851,168.5038163,49.4177891,2.2074136,2.103188056
109,70,2013-08-16 07:58:00+00,851,136.1441205,49.4180623,2.206663,0.368917335
110,-83,2013-08-16 08:12:57+00,851,168.4831883,49.4174557,2.2075739,1.199416525
111,-59,2013-08-16 08:27:52+00,851,-11.48368693,49.4176092,2.2077866,1.468911161
112,96,2013-08-16 08:42:47+00,851,-137.5307383,49.4181118,2.2065005,0.224722051
113,87,2013-08-16 08:57:43+00,851,-125.3740755,49.418097,2.2064094,0.123693169
114,162,2013-08-16 09:12:39+00,851,-111.1264394,49.4182289,2.2057712,1.39057542
115,67,2013-08-16 09:28:08+00,851,-169.4632884,49.4180247,2.2066681,0.02236068
116,68,2013-08-16 09:43:03+00,851,9.002480561,49.4180362,2.2066721,0.171172428
117,268,2013-08-16 09:58:02+00,851,48.58540425,49.414343,2.2115755,9.755946904
118,857,2013-08-16 10:12:58+00,851,-176.3688073,49.411152,2.2642082,7.768790125
119,152,2013-08-16 10:27:54+00,851,-22.13823966,49.3643362,2.2734082,8.554484204
120,124,2013-08-16 10:42:49+00,851,122.0915262,49.3856291,2.2405199,4.00312378
121,524,2013-08-16 10:57:45+00,851,21.83153209,49.3998495,2.2383033,16.05948941
122,16,2013-08-16 11:12:44+00,851,36.31551117,49.440865,2.2863234,1.96002551
123,13,2013-08-16 11:27:38+00,851,-62.60624174,49.4412256,2.2859867,8.71534853
124,50,2013-08-16 11:42:33+00,851,-89.12425161,49.482772,2.3084063,0.297321375
125,95,2013-08-16 11:57:29+00,851,-47.30111627,49.4797003,2.3094635,2.21054292
126,133,2013-08-16 12:12:56+00,851,178.4761738,49.4796529,2.3089355,0.02
127,131,2013-08-16 12:27:51+00,851,53.82116222,49.4796403,2.3089116,0.291547595
128,188,2013-08-16 12:42:49+00,851,178.0787369,49.4834638,2.3085098,7.626899763
129,461,2013-08-16 12:57:50+00,851,-54.02891079,49.5020672,2.301055,11.57471814
130,73,2013-08-16 13:12:46+00,851,-42.88672074,49.5414288,2.2709761,12.3510202
131,105,2013-08-16 13:27:35+00,851,127.199333,49.541252,2.2698748,0.811541743
132,113,2013-08-16 13:42:33+00,851,-128.5039381,49.540978,2.2695435,1.875233319
133,149,2013-08-16 13:57:28+00,851,-110.0482349,49.5407656,2.2694599,0.296816442
134,164,2013-08-16 14:12:56+00,851,-177.6359869,49.5414826,2.2711917,0.13
135,156,2013-08-16 14:28:25+00,851,27.87961602,49.541526,2.2712277,0.759605161
136,158,2013-08-16 14:43:20+00,851,179.1620485,49.5414842,2.2711951,0.510881591
137,159,2013-08-16 14:58:15+00,851,23.31327191,49.5414831,2.2711964,0.247386338
138,157,2013-08-16 15:13:11+00,851,-26.56540279,49.5383911,2.2666345,0.483838816
139,441,2013-08-16 15:28:10+00,851,8.191597935,49.5390488,2.2676662,0.291204396
140,659,2013-08-16 15:43:06+00,851,-0.734215985,49.5377401,2.2684359,2.674210164
141,406,2013-08-16 15:58:28+00,851,-10.67659011,49.5407485,2.2692689,24.96025641
